Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,84.3 ± 2.9,96.9 ± 0.3,95.7 ± 0.8,92.6 ± 1.0,64.6 ± 2.3,61.0 ± 2.1,76.2 ± 3.8,60.2 ± 12.5,49.6 ± 14.1,40.4 ± 12.5,76.0 ± 1.7,95.7 ± 0.9,95.4 ± 1.0,70.8 ± 18.2,66.7 ± 18.2,61.1 ± 15.8
3_adapter,81.8 ± 3.1,97.3 ± 0.4,94.3 ± 0.1,90.4 ± 0.6,50.7 ± 0.7,55.5 ± 0.5,66.1 ± 0.3,82.2 ± 4.3,70.9 ± 9.1,59.3 ± 8.7,85.2 ± 2.4,97.9 ± 0.4,94.5 ± 0.5,84.0 ± 10.6,66.7 ± 2.3,46.7 ± 2.3
3pin_aviation_connector,78.6 ± 0.8,96.5 ± 0.2,94.1 ± 0.2,94.4 ± 2.6,50.0 ± 19.8,46.9 ± 17.3,73.8 ± 8.4,82.7 ± 2.0,73.9 ± 1.9,65.7 ± 1.6,82.7 ± 1.8,97.5 ± 0.3,94.7 ± 0.2,78.7 ± 2.3,68.0 ± 4.0,56.0 ± 8.0
4_wire_stepping_motor,70.5 ± 1.3,94.9 ± 0.3,94.1 ± 0.1,76.8 ± 2.6,7.6 ± 1.1,13.7 ± 1.0,36.6 ± 0.7,92.3 ± 1.2,80.0 ± 2.9,71.2 ± 4.2,79.3 ± 2.4,96.9 ± 0.5,94.3 ± 0.3,88.0 ± 6.9,76.0 ± 4.0,62.7 ± 10.1
D-sub-connector,96.5 ± 1.0,99.5 ± 0.2,96.4 ± 0.4,91.2 ± 0.5,70.7 ± 1.0,68.5 ± 0.9,79.0 ± 0.6,42.8 ± 4.0,20.6 ± 5.6,8.3 ± 4.6,99.8 ± 0.1,100.0 ± 0.1,99.5 ± 0.3,1.3 ± 2.3,0.0 ± 0.0,0.0 ± 0.0
DVD_switch,83.7 ± 2.8,97.5 ± 0.5,94.5 ± 0.2,90.8 ± 0.3,37.5 ± 0.2,40.9 ± 0.4,72.7 ± 0.4,78.4 ± 6.0,61.6 ± 6.0,43.2 ± 4.9,86.9 ± 4.1,98.0 ± 0.6,96.0 ± 0.9,54.7 ± 20.1,48.0 ± 20.0,44.0 ± 18.3
LED_indicator,74.4 ± 2.7,96.1 ± 0.5,94.2 ± 0.1,77.3 ± 1.7,11.6 ± 2.5,18.8 ± 3.2,62.8 ± 2.0,93.6 ± 2.9,87.2 ± 3.5,78.9 ± 4.1,89.9 ± 5.2,98.5 ± 0.8,95.6 ± 1.2,60.0 ± 21.2,49.3 ± 18.9,36.0 ± 20.8
PLCC_socket,78.3 ± 3.3,96.5 ± 0.6,94.6 ± 0.1,98.0 ± 0.2,80.2 ± 0.5,73.7 ± 0.5,84.2 ± 0.9,77.9 ± 2.4,70.7 ± 3.2,57.9 ± 6.5,74.5 ± 5.5,95.7 ± 1.1,94.4 ± 0.4,86.7 ± 4.6,72.0 ± 10.6,62.7 ± 9.2
VR_joystick,83.9 ± 2.5,96.7 ± 0.5,92.7 ± 0.4,96.8 ± 0.5,63.1 ± 2.4,61.3 ± 2.4,85.7 ± 1.8,78.2 ± 6.8,67.1 ± 5.8,51.1 ± 5.6,88.3 ± 2.3,98.2 ± 0.5,95.8 ± 0.2,64.0 ± 8.0,50.7 ± 12.2,34.7 ± 4.6
access_card,59.8 ± 2.9,92.9 ± 0.8,94.1 ± 0.1,65.7 ± 4.7,6.1 ± 0.7,10.4 ± 0.9,60.7 ± 1.4,98.7 ± 1.2,96.8 ± 2.9,92.0 ± 3.5,61.6 ± 2.1,93.9 ± 0.3,94.1 ± 0.2,97.3 ± 2.3,96.0 ± 4.0,92.0 ± 6.9
