Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,81.4,96.9,94.9,92.1,64.0,60.1,78.5,74.0,65.0,54.5,77.2,96.7,94.3,91.7,87.5,79.2
3_adapter,83.0,97.5,94.3,89.8,50.0,55.9,66.1,81.9,67.7,54.3,87.5,98.3,94.5,88.0,68.0,44.0
3pin_aviation_connector,79.1,96.5,94.2,91.4,27.2,26.9,64.1,80.5,73.7,63.9,81.5,97.3,94.9,80.0,64.0,56.0
4_wire_stepping_motor,71.9,95.1,94.1,76.7,8.2,14.5,35.8,91.2,76.8,66.4,79.5,97.0,94.1,92.0,80.0,72.0
D-sub-connector,97.2,99.6,96.8,90.8,69.9,67.9,78.7,44.0,17.0,5.0,99.9,100.0,99.7,0.0,0.0,0.0
DVD_switch,81.3,97.1,94.4,90.8,37.3,40.5,72.2,84.0,68.0,46.4,83.8,97.6,95.2,76.0,68.0,60.0
LED_indicator,76.7,96.6,94.1,79.3,12.6,20.5,64.4,94.4,88.8,80.0,95.8,99.4,97.0,36.0,28.0,12.0
PLCC_socket,77.6,96.3,94.6,98.2,79.8,73.3,85.2,78.4,71.2,61.6,71.7,95.2,94.3,84.0,76.0,68.0
VR_joystick,85.0,96.9,93.2,97.3,65.7,63.6,87.7,71.2,65.3,48.2,88.3,98.2,95.9,64.0,40.0,32.0
access_card,57.1,92.2,94.1,60.3,5.4,9.6,60.1,98.4,97.6,89.6,59.6,93.8,94.0,100.0,100.0,96.0
accurate_detection_switch,77.7,96.6,93.9,88.7,59.8,56.6,76.2,89.1,75.0,68.0,84.8,98.0,94.3,95.8,79.2,54.2
aircraft_model_head,96.0,99.4,98.0,97.9,53.2,52.8,89.0,23.7,19.1,14.5,98.6,99.8,99.3,12.0,8.0,8.0
angled_toggle_switch,86.5,97.9,95.7,86.4,38.4,40.0,67.9,60.2,48.4,38.3,93.3,99.0,97.1,36.0,28.0,20.0
audio_jack_socket,68.4,88.9,90.7,79.4,1.2,3.3,50.6,92.3,83.5,69.1,79.4,97.1,94.3,84.0,80.0,76.0
bag_buckle,90.7,98.7,95.6,99.6,82.5,73.3,97.3,57.6,45.6,33.6,95.3,99.4,97.5,28.0,24.0,16.0
ball_pin,92.5,99.0,95.1,84.8,63.6,63.7,73.2,72.2,50.8,15.9,96.0,99.5,97.1,32.0,24.0,16.0
balun_transformer,78.8,95.4,91.8,97.3,68.6,62.0,83.6,90.7,84.3,72.7,82.8,97.4,94.3,88.0,68.0,56.0
battery,60.8,92.0,93.9,82.7,8.3,14.4,54.9,97.7,89.9,85.3,66.1,93.4,94.1,100.0,92.0,72.0
battery_holder_connector,68.5,93.2,94.5,88.2,20.2,27.1,70.6,82.2,74.4,67.4,67.8,94.2,95.4,76.0,68.0,64.0
battery_socket_connector,66.1,91.7,92.2,83.6,22.2,24.2,45.8,92.0,85.9,81.0,69.4,93.9,94.3,96.0,92.0,68.0
bend_connector,79.0,96.5,93.3,92.5,55.1,52.7,76.0,86.1,79.2,66.0,88.2,98.4,95.0,76.0,68.0,40.0
blade_switch,82.8,97.2,95.2,96.0,62.7,60.4,82.3,68.0,58.4,48.8,84.5,97.6,95.5,60.0,52.0,44.0
blue_light_switch,61.9,88.9,92.7,92.5,21.0,31.7,70.4,91.6,81.2,76.6,56.1,89.6,94.5,84.0,80.0,80.0
bluetooth_module,91.9,98.9,95.5,95.6,73.8,65.8,84.1,58.4,43.2,25.6,95.2,99.4,96.8,44.0,32.0,12.0
boost_converter_module,72.1,93.3,91.2,92.4,52.3,48.4,62.4,93.4,82.3,70.7,74.5,96.3,94.1,92.0,84.0,68.0
bread_model,78.2,96.1,92.8,96.2,70.9,67.1,79.7,88.8,84.2,72.4,83.8,97.6,94.3,84.0,76.0,36.0
brooch_clasp_accessory,94.8,99.2,96.0,97.9,80.9,74.4,88.9,45.7,31.2,18.8,99.8,100.0,99.3,4.0,0.0,0.0
button_battery_holder,82.5,96.7,95.8,92.5,22.5,25.4,71.6,52.3,43.8,36.7,83.3,97.4,95.9,64.0,60.0,52.0
button_motor,93.4,99.1,96.3,99.1,84.2,77.2,93.5,44.0,28.8,19.2,93.9,99.1,97.0,44.0,28.0,20.0
button_switch,83.1,97.5,94.2,99.3,83.6,75.1,85.2,88.8,74.4,53.6,89.4,98.5,95.9,56.0,56.0,40.0
car_door_lock_switch,62.2,93.2,94.2,95.2,24.5,31.5,78.4,96.8,92.8,83.2,61.8,93.8,94.1,100.0,96.0,92.0
ceramic_fuse,62.8,91.0,94.2,83.6,15.5,25.4,65.3,96.0,91.2,76.0,46.9,86.1,94.1,96.0,88.0,84.0
ceramic_wave_filter,86.4,98.2,94.3,94.9,54.1,58.2,79.2,89.6,72.8,51.2,88.5,98.5,94.5,88.0,80.0,56.0
charging_port,75.9,95.5,93.8,92.7,38.9,42.6,77.6,83.7,71.9,60.0,77.0,96.5,94.6,80.0,64.0,60.0
chip-inductor,72.0,95.5,94.1,89.1,36.5,37.3,67.5,93.7,84.9,74.6,80.4,97.1,94.3,92.0,72.0,68.0
circuit_breaker,89.2,98.3,95.3,97.4,67.6,62.2,89.4,60.6,42.5,29.1,96.3,99.5,96.6,44.0,20.0,8.0
