Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,78.8,71.7,61.4,95.8,32.7,37.6,83.6,82.1,70.1,60.0,86.9,93.1,87.9,53.7,45.9,39.4
bottle_cap,90.2,90.3,79.7,98.3,44.5,47.5,89.4,71.0,55.0,36.4,95.5,98.1,91.8,50.8,37.0,14.6
button_battery,73.4,81.7,73.7,97.4,54.2,52.5,77.0,90.7,83.2,72.2,72.1,86.8,82.0,90.5,84.6,73.4
end_cap,72.2,74.6,75.8,94.7,10.8,17.1,88.2,86.1,76.3,65.2,70.7,82.6,82.9,85.9,77.2,68.0
eraser,90.9,89.7,81.4,97.1,56.3,56.3,84.6,71.2,57.4,30.9,91.8,96.3,90.1,85.0,39.8,22.4
fire_hood,81.7,74.3,67.2,97.0,15.1,21.3,82.2,82.2,69.3,53.1,81.6,90.3,83.0,89.6,74.8,57.6
mint,62.5,61.3,64.0,93.8,15.8,22.7,77.1,96.2,91.4,83.4,64.1,89.4,89.9,92.2,88.6,81.4
mounts,78.6,59.8,69.1,96.2,31.4,43.2,87.9,78.8,65.4,49.4,96.7,98.5,93.6,49.4,19.3,7.6
pcb,76.5,85.3,76.8,95.9,50.7,51.6,81.7,91.5,81.1,68.8,78.2,89.5,81.2,93.5,82.1,69.1
phone_battery,88.7,87.6,76.7,97.7,42.5,47.0,88.9,75.9,56.9,36.0,83.4,92.5,84.6,76.3,65.1,54.8
plastic_nut,89.0,83.5,75.5,99.2,56.4,53.3,95.0,74.9,57.0,34.3,93.3,96.4,91.7,39.4,26.7,19.1
plastic_plug,78.8,70.2,65.6,95.6,22.5,28.2,82.7,80.9,68.5,55.6,75.5,86.9,83.1,86.0,73.6,61.6
porcelain_doll,82.5,77.0,69.3,88.6,33.4,39.5,74.1,89.3,73.7,58.8,89.2,95.0,87.8,72.6,58.1,34.0
regulator,61.8,34.2,48.3,93.6,1.3,4.6,73.5,90.3,79.1,71.3,53.4,69.9,81.2,94.8,92.0,86.3
rolled_strip_base,79.4,86.9,85.1,98.8,17.7,26.4,96.1,70.8,56.7,46.4,75.7,85.9,86.5,59.7,57.3,52.8
sim_card_set,92.5,94.7,85.2,99.1,78.1,71.6,93.8,62.2,42.7,26.6,92.3,96.4,88.5,54.6,43.4,28.1
switch,85.2,88.8,77.8,97.5,70.6,66.7,85.8,85.4,70.5,51.9,89.9,95.5,87.2,75.6,56.5,38.6
tape,92.5,91.0,82.1,98.5,63.1,61.1,92.4,59.0,45.9,26.8,97.9,98.9,94.8,22.4,12.0,7.2
terminalblock,89.7,92.4,82.7,97.4,65.4,63.7,89.0,77.6,59.4,39.0,94.7,97.9,90.8,61.3,36.2,18.9
toothbrush,69.7,71.9,73.3,94.7,13.6,21.5,81.5,87.5,76.2,65.4,83.2,90.8,86.0,63.5,57.8,45.9
toy,48.0,54.7,73.9,90.6,2.4,8.6,68.3,93.7,89.6,85.9,43.2,63.2,81.1,92.4,91.6,89.6
toy_brick,75.2,69.3,65.1,95.1,12.3,17.4,79.3,89.4,76.7,63.3,74.4,85.6,82.2,88.3,74.2,61.3
transistor1,83.0,87.4,78.7,96.6,46.3,45.4,87.7,81.7,66.6,51.2,91.6,96.0,88.0,58.5,46.4,33.5
u_block,86.1,80.8,70.5,98.4,45.9,46.2,89.1,78.7,62.3,48.9,91.8,96.2,89.5,71.1,51.0,23.7
usb,84.1,85.2,74.6,96.9,46.1,49.9,89.0,85.4,70.5,55.8,90.3,95.7,87.5,69.1,55.7,36.2
usb_adaptor,77.9,73.5,66.1,95.3,38.1,41.9,85.3,89.7,80.5,62.6,81.2,91.2,85.8,81.3,64.8,53.9
vcpill,84.5,82.7,71.4,96.0,43.8,45.0,79.7,85.6,67.8,52.9,86.4,93.8,83.6,83.3,64.3,54.4
wooden_beads,78.9,77.3,68.7,96.6,25.6,31.8,80.6,89.3,76.3,64.3,81.3,92.0,84.4,92.2,82.0,64.5
woodstick,73.0,61.9,53.3,95.8,39.4,46.7,76.4,90.6,82.5,73.3,66.3,83.1,80.3,94.0,90.4,84.8
zipper,88.8,93.6,84.7,86.1,22.2,26.0,79.5,77.1,55.9,38.7,96.2,97.9,94.0,24.8,14.8,10.0
Mean,79.8,77.8,72.6,95.8,36.6,39.7,84.0,82.2,68.8,54.3,82.3,90.8,86.7,71.7,58.8,46.4
