Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,77.5 ± 2.1,70.4 ± 1.8,60.2 ± 1.9,95.6 ± 0.2,28.3 ± 3.8,33.7 ± 3.4,82.3 ± 1.2,82.5 ± 3.5,72.9 ± 3.5,62.6 ± 4.9,83.8 ± 9.3,91.8 ± 4.3,87.3 ± 4.0,57.6 ± 20.4,50.5 ± 22.7,43.2 ± 22.2
bottle_cap,90.7 ± 0.8,91.0 ± 0.8,81.3 ± 1.5,97.8 ± 0.4,46.8 ± 2.3,49.6 ± 2.1,87.9 ± 1.4,74.6 ± 4.8,55.0 ± 3.3,34.5 ± 3.9,96.5 ± 0.9,98.5 ± 0.4,93.5 ± 1.5,42.8 ± 9.4,24.7 ± 10.7,8.1 ± 5.7
button_battery,72.9 ± 0.5,81.5 ± 0.3,73.3 ± 0.3,97.5 ± 0.1,54.3 ± 1.3,52.6 ± 1.1,77.8 ± 0.9,92.4 ± 1.6,84.6 ± 1.2,74.0 ± 1.8,73.4 ± 2.9,87.4 ± 1.4,81.8 ± 0.2,91.9 ± 1.7,84.2 ± 1.5,72.2 ± 3.3
end_cap,74.5 ± 3.5,77.8 ± 3.4,76.2 ± 1.3,95.1 ± 0.4,12.3 ± 1.5,18.6 ± 1.5,88.8 ± 0.5,87.3 ± 2.4,76.5 ± 4.1,63.6 ± 5.2,77.6 ± 6.3,86.9 ± 3.8,84.6 ± 1.9,78.0 ± 7.2,66.4 ± 11.7,55.7 ± 12.7
eraser,90.2 ± 0.6,89.2 ± 0.5,80.4 ± 1.0,96.9 ± 0.3,56.2 ± 1.8,55.5 ± 1.9,84.4 ± 0.9,76.9 ± 5.0,59.5 ± 4.9,34.4 ± 3.2,91.9 ± 1.1,96.2 ± 0.6,90.0 ± 0.5,73.2 ± 14.9,40.5 ± 7.2,22.8 ± 1.5
fire_hood,79.6 ± 3.5,72.1 ± 4.0,65.3 ± 3.1,97.0 ± 0.4,16.6 ± 1.4,22.1 ± 0.8,79.8 ± 3.2,87.5 ± 5.1,75.7 ± 6.3,59.1 ± 9.0,80.0 ± 3.2,89.2 ± 2.0,83.2 ± 1.2,86.0 ± 3.6,72.3 ± 4.0,55.5 ± 6.7
mint,64.8 ± 2.0,64.0 ± 2.4,64.4 ± 0.4,92.9 ± 1.0,16.2 ± 1.0,23.2 ± 0.6,76.5 ± 1.1,95.5 ± 0.6,90.2 ± 1.1,80.7 ± 2.5,69.1 ± 4.4,91.1 ± 1.5,89.9 ± 0.0,89.6 ± 2.4,84.2 ± 3.9,76.3 ± 4.5
mounts,78.4 ± 0.2,59.2 ± 0.7,68.0 ± 0.9,96.0 ± 0.3,29.4 ± 2.1,41.2 ± 2.7,87.3 ± 1.9,75.8 ± 2.8,63.0 ± 2.8,47.7 ± 1.7,96.1 ± 0.6,98.3 ± 0.2,92.7 ± 0.9,52.1 ± 3.1,26.0 ± 7.5,11.3 ± 3.2
pcb,76.9 ± 1.3,85.4 ± 1.3,77.1 ± 0.4,96.2 ± 0.6,50.6 ± 4.2,51.4 ± 3.7,82.3 ± 1.9,91.4 ± 2.6,80.0 ± 2.3,68.8 ± 0.9,79.0 ± 0.7,89.8 ± 0.7,81.6 ± 0.9,90.0 ± 6.5,81.6 ± 5.7,68.3 ± 2.9
phone_battery,87.4 ± 1.2,86.5 ± 1.0,75.8 ± 0.8,97.9 ± 0.2,42.3 ± 2.0,45.9 ± 1.4,89.4 ± 0.5,76.7 ± 1.0,61.6 ± 4.1,44.2 ± 7.2,83.7 ± 0.3,92.7 ± 0.3,83.8 ± 0.8,81.6 ± 4.6,70.0 ± 4.8,57.0 ± 2.1
