|    Name    |  I-AUROC  |  I-AP  |  I-F1max  |  P-AUROC  |  P-AP  |  P-F1max  |  P-AUPRO  |
|:----------:|:---------:|:------:|:---------:|:---------:|:------:|:---------:|:---------:|
|   bottle   |   0.996   | 0.999  |   0.984   |   0.975   | 0.856  |   0.775   |   0.954   |
|   cable    |   0.953   | 0.976  |   0.919   |   0.963   | 0.675  |   0.659   |   0.902   |
|  capsule   |   0.802   | 0.949  |   0.935   |   0.958   | 0.405  |   0.483   |   0.576   |
|   carpet   |   0.996   | 0.999  |   0.989   |   0.970   | 0.739  |   0.687   |   0.931   |
|    grid    |   0.962   | 0.987  |   0.948   |   0.908   | 0.288  |   0.371   |   0.755   |
|  hazelnut  |   0.993   | 0.996  |   0.979   |   0.988   | 0.747  |   0.680   |   0.891   |
|  leather   |   1.000   | 1.000  |   1.000   |   0.997   | 0.709  |   0.655   |   0.964   |
| metal_nut  |   0.962   | 0.991  |   0.952   |   0.963   | 0.814  |   0.733   |   0.910   |
|    pill    |   0.953   | 0.992  |   0.945   |   0.948   | 0.648  |   0.599   |   0.863   |
|   screw    |   0.843   | 0.945  |   0.876   |   0.951   | 0.294  |   0.333   |   0.616   |
|    tile    |   0.951   | 0.983  |   0.934   |   0.947   | 0.833  |   0.788   |   0.912   |
| toothbrush |   0.936   | 0.976  |   0.923   |   0.989   | 0.703  |   0.705   |   0.786   |
| transistor |   0.911   | 0.884  |   0.792   |   0.860   | 0.479  |   0.480   |   0.728   |
|    wood    |   0.988   | 0.996  |   0.968   |   0.943   | 0.730  |   0.684   |   0.882   |
|   zipper   |   0.893   | 0.963  |   0.937   |   0.943   | 0.638  |   0.615   |   0.790   |
|    mean    |   0.942   | 0.976  |   0.939   |   0.953   | 0.637  |   0.616   |   0.831   |
+------------+-----------+--------+-----------+-----------+--------+-----------+-----------+
